side,entry_date,entry_price_a,entry_price_b,beta,entry_equity,exit_date,exit_price_a,exit_price_b,exit_equity,pnl,return,forced_close
long_spread,2018-04-23,125.62000274658203,15.670000076293945,4.712484944631593,99841.21585907709,2018-08-23,112.19999694824219,13.649999618530273,96509.53378893822,-3331.682070138864,-0.033369806662224895,False
short_spread,2018-08-30,113.63999938964844,13.699999809265137,4.712484944631593,96352.72188891238,2018-10-01,112.56999969482422,13.619999885559082,96794.7140033343,441.9921144219261,0.0045872301867248815,False
short_spread,2018-12-26,119.66000366210938,14.109999656677246,4.712484944631593,96639.14559374389,2019-01-07,121.86000061035156,14.670000076293945,96833.52354617638,194.37795243249275,0.002011379045605678,False
short_spread,2019-02-15,124.80000305175781,14.819999694824219,4.712484944631593,96677.56278997967,2019-04-17,120.27999877929688,14.050000190734863,97219.36085221612,541.7980622364557,0.0056041758459865875,False
short_spread,2019-05-14,122.45999908447266,13.859999656677246,4.712484944631593,97066.02503627379,2019-08-30,143.75,17.149999618530273,91888.87651936842,-5177.148516905363,-0.05333636063669705,False
short_spread,2019-12-05,139.0,15.850000381469727,4.712484944631593,91735.1406285986,2019-12-24,141.27000427246094,16.579999923706055,92410.1596299832,675.0190013846004,0.007358347049551063,False
short_spread,2020-01-06,147.38999938964844,16.940000534057617,4.712484944631593,92255.99754448934,2020-05-20,164.64999389648438,16.360000610351562,77879.34862596705,-14376.648918522289,-0.15583430130479403,False
long_spread,2020-07-23,177.17999267578125,21.030000686645508,4.712484944631593,77723.41479273635,2020-09-24,175.44000244140625,21.559999465942383,75229.6720661993,-2493.7427265370497,-0.0320848322630583,False
long_spread,2020-12-17,176.74000549316406,24.149999618530273,4.712484944631593,75065.28001794875,2021-04-06,163.22000122070312,23.34000015258789,69342.84937643057,-5722.430641518178,-0.07623272224056042,False
short_spread,2021-05-27,177.7100067138672,25.850000381469727,4.712484944631593,69174.30076745294,2021-06-15,174.0500030517578,25.649999618530273,70522.97614575834,1348.675378305401,0.019496769224156198,False
short_spread,2021-07-19,169.61000061035156,23.290000915527344,4.712484944631593,70358.26664851178,2021-10-19,165.4499969482422,21.889999389648438,68461.38177857369,-1896.8848699380906,-0.02696036955279673,False
short_spread,2021-12-02,165.24000549316406,20.690000534057617,4.712484944631593,68302.37590059021,2022-01-20,171.64999389648438,22.6200008392334,69644.89739064194,1342.5214900517312,0.01965556062069768,False
short_spread,2022-02-18,177.1199951171875,22.1200008392334,4.712484944631593,69486.04453732003,2022-03-03,180.8000030517578,23.290000915527344,70343.17597229005,857.1314349700115,0.012335303306977814,False
short_spread,2022-03-08,191.50999450683594,24.450000762939453,4.712484944631593,70183.01187443797,2022-07-21,160.27000427246094,17.399999618530273,68717.17402716674,-1465.8378472712357,-0.020885935329958707,False
long_spread,2022-09-13,158.5399932861328,17.829999923706055,4.712484944631593,68564.1756609743,2022-11-18,162.7899932861328,19.25,66546.62585590626,-2017.5498050680471,-0.02942571372904883,False
long_spread,2022-12-12,165.67999267578125,21.459999084472656,4.712484944631593,66385.58654695645,2023-01-05,170.52000427246094,21.389999389648438,69249.74552024134,2864.158973284895,0.04314428963068651,False
short_spread,2023-01-19,179.88999938964844,21.959999084472656,4.712484944631593,69092.21805044267,2023-04-10,185.11000061035156,22.8799991607666,67936.5409962403,-1155.6770542023587,-0.016726587838859438,False
long_spread,2023-07-14,181.42999267578125,22.860000610351562,4.712484944631593,67777.1641494898,2023-08-08,178.63999938964844,20.899999618530273,71176.46433754927,3399.3001880594675,0.05015406340344878,False
long_spread,2023-08-24,177.85000610351562,22.110000610351562,4.712484944631593,71017.87955181616,2023-09-07,178.02000427246094,21.049999237060547,73732.38388823402,2714.5043364178564,0.03822282999082359,False
short_spread,2023-10-19,183.08999633789062,21.110000610351562,4.712484944631593,73578.04964712463,2023-11-28,189.25999450683594,22.920000076293945,74682.33838387937,1104.2887367547373,0.01500839913603081,False
short_spread,2024-01-02,190.72000122070312,21.649999618530273,4.712484944631593,74528.84357651748,2024-02-16,186.33999633789062,21.389999389648438,76061.21411419251,1532.3705376750295,0.020560771697762506,False
short_spread,2024-03-06,198.80999755859375,22.100000381469727,4.712484944631593,75908.82946535546,2024-05-14,218.08999633789062,26.1299991607666,75449.95095210745,-458.8785132480116,-0.00604512698298743,False
long_spread,2024-05-20,224.55999755859375,28.979999542236328,4.712484944631593,75289.13521777233,2024-07-16,228.2899932861328,28.610000610351562,77570.24167814474,2281.106460372408,0.030297950079707422,False
short_spread,2024-08-01,225.77000427246094,26.030000686645508,4.712484944631593,77415.9094001524,2024-10-21,251.22000122070312,30.850000381469727,75873.79678889405,-1542.1126112583588,-0.019919841066354804,False
short_spread,2024-10-31,253.50999450683594,29.809999465942383,4.712484944631593,75718.38312602998,2024-11-13,237.6300048828125,27.610000610351562,77791.66041422744,2073.277288197467,0.027381425785949317,False
short_spread,2024-11-22,249.83999633789062,28.469999313354492,4.712484944631593,77637.96026809217,2024-12-06,242.9499969482422,28.25,79829.2125431595,2191.252275067338,0.028223980479403502,False
